Tipo de Cargo;Número de pedido;Estado del pedido;Sucursal;Fecha del pedido;Hora;Motivo;Monto del Pedido;Comisión PeYa;Monto final
Cargos por cancelar o rechazar pedidos a usuarios;1847165216;RECHAZADO;2docemarket - 24hrs;1/1/2026 0:00;22:58:34;Falta de productos;4,4;0,26;-0,26
Cargos por cancelar o rechazar pedidos a usuarios;1846617267;RECHAZADO;2docemarket;1/1/2026 0:00;15:40:39;Falta de productos;9;0,9;-0,9
Cargos por cancelar o rechazar pedidos a usuarios;1847165431;RECHAZADO;2docemarket - 24hrs;1/1/2026 0:00;23:03:53;Pedido no entregado;3,3;0,19;-0,19
Cargos por cancelar o rechazar pedidos a usuarios;1847166756;RECHAZADO;2docemarket - 24hrs;1/1/2026 0:00;23:43:20;Falta de productos;5,6;0,32;-0,32
Cargos por cancelar o rechazar pedidos a usuarios;1846436944;RECHAZADO;2docemarket;1/1/2026 0:00;12:07:18;Falta de productos;19;1,9;-1,9
Cargos por cancelar o rechazar pedidos a usuarios;1846579951;RECHAZADO;2docemarket;1/1/2026 0:00;14:31:32;Falta de productos;15,5;1,56;-1,56
Cargos por cancelar o rechazar pedidos a usuarios;1846724234;RECHAZADO;Cafein - Las Mercedes;1/1/2026 0:00;17:17:16;Falta de productos;32;8;-8
Cargos por cancelar o rechazar pedidos a usuarios;1847166191;RECHAZADO;2docemarket - 24hrs;1/1/2026 0:00;23:24:41;Horario de entrega retrasado;6;0,33;-0,33
Cargos por cancelar o rechazar pedidos a usuarios;1847167611;RECHAZADO;2docemarket - 24hrs;2/1/2026 0:00;3:09:31;Falta de productos;7,3;0,4;-0,4
Cargos por cancelar o rechazar pedidos a usuarios;1847130209;RECHAZADO;2docemarket - 24hrs;2/1/2026 0:00;6:56:11;Pedido no entregado;8;0,44;-0,44
Cargos por cancelar o rechazar pedidos a usuarios;1847908614;RECHAZADO;2docemarket;2/1/2026 0:00;19:05:15;Falta de productos;19;1,9;-1,9
Cargos por cancelar o rechazar pedidos a usuarios;1848372594;RECHAZADO;2docemarket - 24hrs;3/1/2026 0:00;0:09:26;Falta de productos;8,2;0,46;-0,46
Cargos por cancelar o rechazar pedidos a usuarios;1848374038;RECHAZADO;2docemarket - 24hrs;3/1/2026 0:00;3:58:59;Horario de entrega retrasado;3,2;0,2;-0,2
Cargos por cancelar o rechazar pedidos a usuarios;1848374040;RECHAZADO;2docemarket - 24hrs;3/1/2026 0:00;4:39:04;Horario de entrega retrasado;40,22;2,04;-2,04
Cargos por cancelar o rechazar pedidos a usuarios;1848352619;RECHAZADO;2docemarket - 24hrs;3/1/2026 0:00;5:25:01;Horario de entrega retrasado;30,39;1,56;-1,56
Cargos por cancelar o rechazar pedidos a usuarios;1848352616;RECHAZADO;2docemarket - 24hrs;3/1/2026 0:00;5:07:01;Horario de entrega retrasado;6,4;0,36;-0,36
Cargos por cancelar o rechazar pedidos a usuarios;1848374046;RECHAZADO;2docemarket - 24hrs;3/1/2026 0:00;6:04:40;Pedido no entregado;8;0,44;-0,44
Cargos por cancelar o rechazar pedidos a usuarios;1848352611;RECHAZADO;2docemarket - 24hrs;3/1/2026 0:00;3:28:31;Pedido no entregado;3,8;0,22;-0,22
Cargos por cancelar o rechazar pedidos a usuarios;1848352617;RECHAZADO;2docemarket - 24hrs;3/1/2026 0:00;5:14:59;Pedido no entregado;82,84;4,18;-4,18
Cargos por cancelar o rechazar pedidos a usuarios;1848374042;RECHAZADO;2docemarket - 24hrs;3/1/2026 0:00;4:42:52;Falta de productos;95,17;4,78;-4,78
Cargos por cancelar o rechazar pedidos a usuarios;1851223658;RECHAZADO;2docemarket;5/1/2026 0:00;16:31:13;Falta de productos;35,92;3,6;-3,6
Cargos por cancelar o rechazar pedidos a usuarios;1852697048;RECHAZADO;2docemarket - 24hrs;6/1/2026 0:00;23:46:09;Falta de productos;7,85;0,44;-0,44
Cargos por cancelar o rechazar pedidos a usuarios;1852732929;RECHAZADO;2docemarket - 24hrs;6/1/2026 0:00;23:38:58;Falta de productos;2,84;0,19;-0,19
Cargos por cancelar o rechazar pedidos a usuarios;1852697278;RECHAZADO;2docemarket - 24hrs;6/1/2026 0:00;23:54:34;Falta de productos;6,2;0,35;-0,35
Cargos por cancelar o rechazar pedidos a usuarios;1852730798;RECHAZADO;2docemarket - 24hrs;6/1/2026 0:00;22:58:23;Falta de productos;7,2;0,41;-0,41
Cargos por cancelar o rechazar pedidos a usuarios;1852731436;RECHAZADO;2docemarket - 24hrs;6/1/2026 0:00;23:08:11;Falta de productos;7,2;0,41;-0,41
Cargos por cancelar o rechazar pedidos a usuarios;1852693433;RECHAZADO;2docemarket - 24hrs;6/1/2026 0:00;22:45:16;Falta de productos;6,53;0,37;-0,37
Cargos por cancelar o rechazar pedidos a usuarios;1852035780;RECHAZADO;2docemarket;6/1/2026 0:00;13:28:09;Falta de productos;58,8;5,88;-5,88
Cargos por cancelar o rechazar pedidos a usuarios;1852248255;RECHAZADO;2docemarket;6/1/2026 0:00;17:22:33;Restaurante Cerrado;66,1;6,62;-6,62
Cargos por cancelar o rechazar pedidos a usuarios;1852685977;RECHAZADO;2docemarket - 24hrs;6/1/2026 0:00;22:45:20;Falta de productos;7,45;0,41;-0,41
Cargos por cancelar o rechazar pedidos a usuarios;1852692195;RECHAZADO;2docemarket - 24hrs;6/1/2026 0:00;22:33:29;Falta de productos;3,8;0,21;-0,21
Cargos por cancelar o rechazar pedidos a usuarios;1852762497;RECHAZADO;2docemarket - 24hrs;7/1/2026 0:00;3:53:40;Falta de productos;3;0,19;-0,19
Cargos por cancelar o rechazar pedidos a usuarios;1852697691;RECHAZADO;2docemarket - 24hrs;7/1/2026 0:00;0:11:37;Falta de productos;7;0,39;-0,39
Cargos por cancelar o rechazar pedidos a usuarios;1852770526;RECHAZADO;2docemarket - 24hrs;7/1/2026 0:00;0:22:46;Falta de productos;102,93;5,17;-5,17
Cargos por cancelar o rechazar pedidos a usuarios;1852697995;RECHAZADO;2docemarket - 24hrs;7/1/2026 0:00;0:27:57;Falta de productos;9,44;0,51;-0,51
Cargos por cancelar o rechazar pedidos a usuarios;1852698037;RECHAZADO;2docemarket - 24hrs;7/1/2026 0:00;0:30:35;Falta de productos;37,15;1,9;-1,9
Cargos por cancelar o rechazar pedidos a usuarios;1852762434;RECHAZADO;2docemarket - 24hrs;7/1/2026 0:00;1:27:37;Falta de productos;2,75;0,16;-0,16
Cargos por cancelar o rechazar pedidos a usuarios;1852762458;RECHAZADO;2docemarket - 24hrs;7/1/2026 0:00;1:37:23;Falta de productos;8,5;0,46;-0,46
Cargos por cancelar o rechazar pedidos a usuarios;1852762491;RECHAZADO;2docemarket - 24hrs;7/1/2026 0:00;3:01:34;Falta de productos;5,96;0,33;-0,33
Cargos por cancelar o rechazar pedidos a usuarios;1854132973;RECHAZADO;2docemarket;8/1/2026 0:00;14:03:12;Falta de productos;6;0,6;-0,6
Cargos por cancelar o rechazar pedidos a usuarios;1855465157;RECHAZADO;2docemarket;9/1/2026 0:00;18:10:32;Falta de productos;31,32;3,14;-3,14
Cargos por cancelar o rechazar pedidos a usuarios;1855461299;RECHAZADO;2docemarket;9/1/2026 0:00;17:44:59;Falta de productos;8,7;0,88;-0,88
Cargos por cancelar o rechazar pedidos a usuarios;1856250892;RECHAZADO;2docemarket;10/1/2026 0:00;10:38:03;Falta de productos;20;2;-2
Cargos por cancelar o rechazar pedidos a usuarios;1856555648;RECHAZADO;2docemarket;10/1/2026 0:00;14:41:27;Falta de productos;57,4;5,74;-5,74
Cargos por cancelar o rechazar pedidos a usuarios;1857893355;RECHAZADO;2docemarket;11/1/2026 0:00;15:25:35;Falta de productos;10,8;1,08;-1,08
Cargos por cancelar o rechazar pedidos a usuarios;1858004803;RECHAZADO;2docemarket;11/1/2026 0:00;16:33:12;Falta de productos;36,6;3,66;-3,66
Cargos por cancelar o rechazar pedidos a usuarios;1860011068;RECHAZADO;2docemarket;13/1/2026 0:00;11:37:12;Falta de productos;14;1,4;-1,4
Cargos por cancelar o rechazar pedidos a usuarios;1861543829;RECHAZADO;2docemarket;14/1/2026 0:00;18:53:39;Falta de productos;16,4;1,64;-1,64
Cargos por cancelar o rechazar pedidos a usuarios;1862295661;RECHAZADO;2docemarket;15/1/2026 0:00;12:06:07;Falta de productos;6;0,6;-0,6
Cargos por cancelar o rechazar pedidos a usuarios;1862617401;RECHAZADO;2docemarket;15/1/2026 0:00;16:16:19;Falta de productos;14;1,4;-1,4
Cargos por cancelar o rechazar pedidos a usuarios;1863332499;RECHAZADO;2docemarket;16/1/2026 0:00;10:25:51;Falta de productos;5;0,5;-0,5
Cargos por cancelar o rechazar pedidos a usuarios;1863330742;RECHAZADO;2docemarket;16/1/2026 0:00;10:08:49;Falta de productos;12;1,2;-1,2
Cargos por cancelar o rechazar pedidos a usuarios;1864797078;RECHAZADO;2docemarket;17/1/2026 0:00;13:13:59;Falta de productos;7,5;0,76;-0,76
Cargos por cancelar o rechazar pedidos a usuarios;1866124687;RECHAZADO;2docemarket;18/1/2026 0:00;12:15:32;Falta de productos;36;3,6;-3,6
Cargos por cancelar o rechazar pedidos a usuarios;1866853833;RECHAZADO;2docemarket;18/1/2026 0:00;20:05:26;Falta de productos;13,46;1,34;-1,34
Cargos por cancelar o rechazar pedidos a usuarios;1868136494;RECHAZADO;2docemarket;19/1/2026 0:00;21:02:12;Falta de productos;7,21;0,72;-0,72
Cargos por cancelar o rechazar pedidos a usuarios;1868825522;RECHAZADO;2docemarket;20/1/2026 0:00;16:22:52;Falta de productos;18;1,8;-1,8
Cargos por cancelar o rechazar pedidos a usuarios;1870036390;RECHAZADO;2docemarket;21/1/2026 0:00;18:36:55;Falta de productos;32,48;3,24;-3,24
Cargos por cancelar o rechazar pedidos a usuarios;1870196493;RECHAZADO;2docemarket;21/1/2026 0:00;20:24:26;Falta de productos;5,94;0,6;-0,6
Cargos por cancelar o rechazar pedidos a usuarios;1871663176;RECHAZADO;2docemarket - 24hrs;22/1/2026 0:00;22:47:17;Falta de productos;8,5;0,45;-0,45
Cargos por cancelar o rechazar pedidos a usuarios;1872173536;RECHAZADO;2docemarket;23/1/2026 0:00;13:29:05;Falta de productos;91,7;9,18;-9,18
Cargos por cancelar o rechazar pedidos a usuarios;1872401558;RECHAZADO;2docemarket;23/1/2026 0:00;16:57:16;Falta de productos;16,1;1,62;-1,62
Cargos por cancelar o rechazar pedidos a usuarios;1872977340;RECHAZADO;2docemarket - 24hrs;23/1/2026 0:00;22:37:39;Horario de entrega retrasado;5,6;0,32;-0,32
Cargos por cancelar o rechazar pedidos a usuarios;1874000448;RECHAZADO;2docemarket;24/1/2026 0:00;20:23:39;Falta de productos;9,09;0,9;-0,9
Cargos por cancelar o rechazar pedidos a usuarios;1873754854;RECHAZADO;2docemarket;24/1/2026 0:00;17:03:40;Falta de productos;12,09;1,2;-1,2
Cargos por cancelar o rechazar pedidos a usuarios;1873669788;RECHAZADO;2docemarket;24/1/2026 0:00;15:59:00;Falta de productos;71,98;7,2;-7,2
Cargos por cancelar o rechazar pedidos a usuarios;1873493901;RECHAZADO;2docemarket;24/1/2026 0:00;13:53:44;Falta de productos;37,12;3,72;-3,72
Cargos por cancelar o rechazar pedidos a usuarios;1873579546;RECHAZADO;2docemarket;24/1/2026 0:00;14:43:58;Falta de productos;3;0,3;-0,3
Cargos por cancelar o rechazar pedidos a usuarios;1873662564;RECHAZADO;2docemarket;24/1/2026 0:00;15:54:36;Falta de productos;13,31;1,34;-1,34
Cargos por cancelar o rechazar pedidos a usuarios;1874437062;RECHAZADO;2docemarket - 24hrs;25/1/2026 0:00;0:10:28;Horario de entrega retrasado;6,96;0,37;-0,37
Cargos por cancelar o rechazar pedidos a usuarios;1874995908;RECHAZADO;2docemarket;25/1/2026 0:00;15:26:38;Falta de productos;35,99;3,6;-3,6
Cargos por cancelar o rechazar pedidos a usuarios;1875281470;RECHAZADO;2docemarket;25/1/2026 0:00;19:28:19;Falta de productos;38;3,8;-3,8
Cargos por cancelar o rechazar pedidos a usuarios;1878607361;RECHAZADO;2docemarket;28/1/2026 0:00;17:24:22;Falta de productos;9,56;0,96;-0,96
Cargos por cancelar o rechazar pedidos a usuarios;1878427868;RECHAZADO;2docemarket;28/1/2026 0:00;14:09:46;Falta de productos;8,52;0,86;-0,86
Cargos por cancelar o rechazar pedidos a usuarios;1879363128;RECHAZADO;2docemarket;29/1/2026 0:00;12:05:46;Falta de productos;7;0,7;-0,7
Cargos por cancelar o rechazar pedidos a usuarios;1880718692;RECHAZADO;2docemarket;30/1/2026 0:00;14:38:01;Falta de productos;15,6;1,56;-1,56
Cargos por cancelar o rechazar pedidos a usuarios;1880416668;RECHAZADO;2docemarket;30/1/2026 0:00;11:32:44;Falta de productos;20,2;2,02;-2,02
Cargos por cancelar o rechazar pedidos a usuarios;1882508699;RECHAZADO;2docemarket;31/1/2026 0:00;19:39:01;Falta de productos;4,49;0,44;-0,44
Cargos por cancelar o rechazar pedidos a usuarios;1881659703;RECHAZADO;2docemarket - 24hrs;31/1/2026 0:00;0:57:03;Horario de entrega retrasado;3,81;0,22;-0,22
Cargos por cancelar o rechazar pedidos a usuarios;1883021484;RECHAZADO;2docemarket - 24hrs;1/2/2026 0:00;0:45:48;Falta de productos;4,91;0,27;-0,27
Cargos por cancelar o rechazar pedidos a usuarios;1882999060;RECHAZADO;2docemarket - 24hrs;1/2/2026 0:00;0:22:42;Horario de entrega retrasado;9,31;0,49;-0,49
Cargos por cancelar o rechazar pedidos a usuarios;1883922336;RECHAZADO;2docemarket;1/2/2026 0:00;19:11:40;Falta de productos;15;1,5;-1,5
Cargos por cancelar o rechazar pedidos a usuarios;1884086340;RECHAZADO;2docemarket;1/2/2026 0:00;20:14:41;Falta de productos;6;0,6;-0,6
Cargos por cancelar o rechazar pedidos a usuarios;1884154872;RECHAZADO;2docemarket;1/2/2026 0:00;20:34:11;Falta de productos;11,99;1,2;-1,2
