Numero de Pedido;Sucursal;Fecha de Pedido;Monto bruto de la venta;Descuento comercial neto otorgado x PeYa;Descuento otorgado por el local;Cupon otorgado por el local;Desc. neto otorgado por Peya a usuarios;Descuentos neto por Retiro en el local;Descuento por Comodín pago por el local;Envío a cargo del local;Monto neto de la Venta ($);Descuentos PedidosYa a cobrar ($);Monto comisionable Servicios PedidosYa;Servicio Ventas PedidosYA (%);Servicio Logística PedidosYA (%);Servicio Ventas PedidoYa ($);Servicio Logística PedidosYa ($);Monto venta + envió cobrado por el local;Descuento tarifa de servicio al cliente;Pedido con Comodin;Método de pago;Cobrado por;Método de entrega
1846223361;2docemarket - 24hrs;1/1/2026;10;0;0;0;0;0;0;-0.5;10;0;10.5;5.00%;0.00%;0.53;0;10.5;0;No;Pago fuera de la aplicación;Tu Local;Envío de tu local
1846223362;2docemarket - 24hrs;1/1/2026;14.59;0;0;0;0.09;0;0;-0.6;14.59;0.1;15.29;5.00%;0.00%;0.76;0;15.19;0;No;Pago fuera de la aplicación;Tu Local;Envío de tu local
1846223363;2docemarket - 24hrs;1/1/2026;15.2;0;0;0;0;0;0;-0.5;15.2;0;15.7;5.00%;0.00%;0.79;0;15.7;0;No;Pago fuera de la aplicación;Tu Local;Envío de tu local
1846236405;2docemarket - 24hrs;1/1/2026;10.5;0;0;0;0;0;0;-0.52;10.5;0;11.02;5.00%;0.00%;0.55;0;0;0;No;Pago en la aplicación;PedidosYa;Envío de tu local
1846236406;2docemarket - 24hrs;1/1/2026;3.7;0;0;0;0;0;0;-0.7;3.7;0;4.4;5.00%;0.00%;0.22;0;4.4;0;No;Pago fuera de la aplicación;Tu Local;Envío de tu local
1846236407;2docemarket - 24hrs;1/1/2026;5.92;0;0;0;0;0;0;-0.7;5.92;0;6.62;5.00%;0.00%;0.33;0;6.62;0;No;Pago fuera de la aplicación;Tu Local;Envío de tu local
1846236409;2docemarket - 24hrs;1/1/2026;19.91;0;0;0;0;0;0;-0.5;19.91;0;20.41;5.00%;0.00%;1.02;0;20.41;0;No;Pago fuera de la aplicación;Tu Local;Envío de tu local
1846236412;2docemarket - 24hrs;1/1/2026;3.8;0;0;0;0;0;0;-0.7;3.8;0;4.5;5.00%;0.00%;0.23;0;4.5;0;No;Pago fuera de la aplicación;Tu Local;Envío de tu local
1846236413;2docemarket - 24hrs;1/1/2026;16.71;0;0;0;0;0;0;-0.52;16.71;0;17.23;5.00%;0.00%;0.86;0;0;0;No;Pago en la aplicación;PedidosYa;Envío de tu local
1846223364;2docemarket - 24hrs;1/1/2026;7.6;0;0;0;0;0;0;-0.7;7.6;0;8.3;5.00%;0.00%;0.42;0;8.3;0;No;Pago fuera de la aplicación;Tu Local;Envío de tu local
1846236414;2docemarket - 24hrs;1/1/2026;15.02;0;0;0;1.55;0;0;0;13.74;1.8;15.54;5.00%;0.00%;0.78;0;0;0;No;Pago en la aplicación;PedidosYa;Envío de tu local
1846236415;2docemarket - 24hrs;1/1/2026;7;0;0;0;0;0;0;-0.5;7;0;7.5;5.00%;0.00%;0.38;0;7.5;0;No;Pago fuera de la aplicación;Tu Local;Envío de tu local
