Order id;Razón Social ;Sucursal;Métodos De Pago;Subtotal $;Subvención Yummy $;Subtotal Mas Subvención Yummy;Total Cupones de Comercio $;IGTF Comercio $;Fecha De La Orden;Tipo de Delivery;Estado de la orden
18323513;INVERSIONES MERCEBAR, C.A.;2 Doce Market - Las Mercedes;CreditsPagoMovilV2;$25.76;$0.00;$25.76;$0.00;$0.00;1/1/2026;CoreLogistics;Finalizado
18323748;INVERSIONES MERCEBAR, C.A.;2 Doce Market - Las Mercedes;punto_de_venta;$13.00;$0.00;$13.00;$0.00;$0.00;1/1/2026;CoreLogistics;Finalizado
18323923;INVERSIONES MERCEBAR, C.A.;2 Doce Market - Las Mercedes;InstantDebit;$22.01;$0.00;$22.01;$0.00;$0.00;1/1/2026;CoreLogistics;Finalizado
18324295;INVERSIONES GASTROBAR CAFE, C.A;CAFE IN;punto_de_venta;$8.00;$0.00;$8.00;$0.00;$0.00;1/1/2026;CoreLogistics;Finalizado
18324709;INVERSIONES MERCEBAR, C.A.;2 Doce Market - Las Mercedes;stripe;$11.60;$0.00;$11.60;$0.00;$0.00;1/1/2026;CoreLogistics;Finalizado
18324777;INVERSIONES MERCEBAR, C.A.;2 Doce Market - Las Mercedes;InstantDebit;$17.99;$0.00;$17.99;$0.00;$0.00;1/1/2026;CoreLogistics;Finalizado
18324920;INVERSIONES MERCEBAR, C.A.;2 Doce Market - Las Mercedes;CreditsPagoMovilV2;$14.30;$0.00;$14.30;$0.00;$0.00;1/1/2026;CoreLogistics;Finalizado
18324967;INVERSIONES MERCEBAR, C.A.;2 Doce Market - Las Mercedes;CreditsPagoMovilV2;$9.44;$0.00;$9.44;$0.00;$0.00;1/1/2026;CoreLogistics;Finalizado
18325101;INVERSIONES MERCEBAR, C.A.;2 Doce Market - Las Mercedes;stripe;$3.50;$0.00;$3.50;$0.00;$0.00;1/1/2026;CoreLogistics;Finalizado
18325228;INVERSIONES MERCEBAR, C.A.;2 Doce Market - Las Mercedes;CreditsPagoMovilV2;$12.24;$0.00;$12.24;$0.00;$0.00;1/1/2026;CoreLogistics;Finalizado
18325049;INVERSIONES MERCEBAR, C.A.;2 Doce Market - Las Mercedes;CreditsPagoMovilV2;$32.80;$0.00;$32.80;$0.00;$0.00;1/1/2026;CoreLogistics;Finalizado
18325521;INVERSIONES MERCEBAR, C.A.;2 Doce Market - Las Mercedes;megasoft;$16.00;$0.00;$16.00;$0.00;$0.00;1/1/2026;CoreLogistics;Finalizado
18325610;INVERSIONES MERCEBAR, C.A.;2 Doce Market - Las Mercedes;CreditsPagoMovilV2;$295.80;$0.00;$295.80;$0.00;$0.00;1/1/2026;CoreLogistics;Finalizado
18325626;INVERSIONES MERCEBAR, C.A.;2 Doce Market - Las Mercedes;megasoft;$18.75;$0.00;$18.75;$0.00;$0.00;1/1/2026;CoreLogistics;Finalizado
