Order id,Razón Social ,Sucursal,Métodos De Pago,Subtotal $,Subvención Yummy $,Subtotal Mas Subvención Yummy,Total Cupones de Comercio $,IGTF Comercio $,Fecha De La Orden,Tipo de Delivery,Estado de la orden
"19259635","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","InstantDebit","29","0","29","0","0","2026-05-25 09:32:24.717","CoreLogistics","Finalizado"
"19259490","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","punto_de_venta","8","0","8","0","0","2026-05-24 23:42:04.446","CoreLogistics","Finalizado"
"19259419","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","InstantDebit","13.19","0","13.19","0","0","2026-05-24 23:26:20.569","CoreLogistics","Finalizado"
"19259394","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","punto_de_venta","24.42","0","24.42","0","0","2026-05-24 23:06:09.388","CoreLogistics","Finalizado"
"19259045","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","CreditsPagoMovilV2","3.7","0","3.7","0","0","2026-05-24 22:05:04.140","CoreLogistics","Finalizado"
"19259047","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","megasoft","21.99","0","21.99","0","0","2026-05-24 21:52:39.287","CoreLogistics","Finalizado"
"19258848","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","megasoft","6.2","0","6.2","0","0","2026-05-24 21:47:17.108","CoreLogistics","Finalizado"
"19258669","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","punto_de_venta","3.5","0","3.5","0","0","2026-05-24 21:17:38.729","CoreLogistics","Finalizado"
"19258446","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","InstantDebit","6.4","0","6.4","0","0","2026-05-24 21:09:44.123","CoreLogistics","Finalizado"
"19256803","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","punto_de_venta","10","0","10","0","0","2026-05-24 19:54:29.147","CoreLogistics","Finalizado"
"19257229","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","InstantDebit","10.55","0","10.55","0","0","2026-05-24 19:46:50.220","CoreLogistics","Finalizado"
"19255788","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","CreditsPagoMovilV2","95","0","95","0","0","2026-05-24 18:47:07.320","CoreLogistics","Finalizado"
"19255355","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","InstantDebit","66.27","0","66.27","0","0","2026-05-24 18:07:55.663","CoreLogistics","Finalizado"
"19255640","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","CreditsPagoMovilV2","5.8","0","5.8","0","0","2026-05-24 18:06:09.738","CoreLogistics","Finalizado"
"19255217","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","CreditsPagoMovilV2","105","0","105","0","0","2026-05-24 18:05:03.052","CoreLogistics","Finalizado"
"19255471","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","CreditsPagoMovilV2","4.1","0","4.1","0","0","2026-05-24 17:56:57.504","CoreLogistics","Finalizado"
"19255307","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","megasoft","11.6","0","11.6","0","0","2026-05-24 17:45:42.293","CoreLogistics","Finalizado"
"19254703","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","stripe","7.9","0","7.9","0","0","2026-05-24 16:53:48.137","CoreLogistics","Finalizado"
"19254471","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","megasoft","6.93","0","6.93","0","0","2026-05-24 16:47:21.632","CoreLogistics","Finalizado"
"19254019","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","stripe","75.19","0","75.19","0","0","2026-05-24 16:42:10.385","CoreLogistics","Finalizado"
"19253599","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","megasoft","10.5","0","10.5","0","0","2026-05-24 16:28:42.378","CoreLogistics","Finalizado"
"19253980","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","megasoft","11.6","0","11.6","0","0","2026-05-24 16:24:27.420","CoreLogistics","Finalizado"
"19252787","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","megasoft","12.49","0","12.49","0","0","2026-05-24 15:17:29.192","CoreLogistics","Finalizado"
"19252716","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","punto_de_venta","3.5","0","3.5","0","0","2026-05-24 15:16:53.424","CoreLogistics","Finalizado"
"19251466","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","CreditsPagoMovilV2","10.67","0","10.67","0","0","2026-05-24 14:04:18.226","CoreLogistics","Finalizado"
