Referencia Bancaria,Fecha De La Orden,Métodos De Pago,Pago Previo $,Tasa Bs/$,Pago Previo Bs,Order Id
"53566456","2026-05-21","megasoft","3.279999236174764","523.68","1717.67","19224743"
"53566456","2026-05-21","megasoft","7.790005346776658","523.68","4079.47","19228023"
"271789362","2026-05-18","CreditsPagoMovilV2","9.840006950343655","517.96","5096.73","19207855"
"158722021","2026-05-17","CreditsPagoMovilV2","3.2800023167812187","517.96","1698.91","19202130"
"47331154","2026-05-13","megasoft","3.2800039323633503","508.6","1668.21","19168672"
"46564443","2026-05-12","InstantDebit","5.329999405834703","504.91","2691.17","19162053"
"735977482","2026-05-11","CreditsPagoMovilV2","7.78999320625025","500.46","3898.58","19157586"
"45323530","2026-05-08","megasoft","3.279998399551874","499.86","1639.54","19129933"
"43316253","2026-05-07","megasoft","4.919992754060745","496.83","2444.4","19120987"
"42652088","2026-05-06","InstantDebit","13.940005675138838","493.38","6877.72","19115211"
"896983732","2026-05-04","CreditsPagoMovilV2","4.509998978653866","489.55","2207.87","19105525"
"535703073","2026-05-03","CreditsPagoMovilV2","6.969992850577061","489.55","3412.16","19085346"
"40580145","2026-05-02","megasoft","5.3299969359615975","489.55","2609.3","19079444"
"40580145","2026-04-30","InstantDebit","12.710009853834784","487.12","6191.3","19055431"
"37677022","2026-04-29","megasoft","10.659995886466476","486.2","5182.89","19050110"
"356643417","2026-04-26","CreditsPagoMovilV2","6.149997937038412","484.74","2981.15","19035300"
"35605357","2026-04-26","InstantDebit","10.66000330073854","484.74","5167.33","19032266"
"35605357","2026-04-25","InstantDebit","10.66000330073854","484.74","5167.33","19027377"
"32589219","2026-04-22","megasoft","17.220005799983426","482.76","8313.13","19004004"
"32589219","2026-04-22","megasoft","4.510004971414367","482.76","2177.25","19006149"
"31843328","2026-04-21","megasoft","9.4299979240191","481.7","4542.43","19001331"
"30425252","2026-04-19","InstantDebit","10.660009974647771","481.22","5129.81","18990838"
"621308482","2026-04-17","CreditsPagoMovilV2","9.840003331528756","480.26","4725.76","18973555"
"26611565","2026-04-14","megasoft","3.2800075372149995","477.63","1566.63","18952784"
"32822574","2026-04-11","CreditsPagoMovilV2","3.6899926647804673","477.15","1760.68","18936715"
"20735611","2026-04-03","megasoft","3.6899970467873264","474.06","1749.28","18876675"
"978783292","2026-04-02","CreditsPagoMovilV2","9.83999915622495","474.06","4664.75","18870470"
"794601564","2026-04-01","CreditsPagoMovilV2","3.6899898717083053","473.92","1748.76","18867519"
"17372797","2026-03-31","megasoft","3.2799924029797203","473.87","1554.29","18856557"
"315079416","2026-03-31","CreditsPagoMovilV2","8.199991558866357","473.87","3885.73","18856395"
"742451457","2026-03-30","CreditsPagoMovilV2","12.3","471.7","5801.91","18850279"
"16154798","2026-03-28","megasoft","10.250010599957601","471.7","4834.93","18834855"
"459337006","2026-03-28","CreditsPagoMovilV2","4.3","471.7","2028.31","18834854"
"459337006","2026-03-28","CreditsPagoMovilV2","8.2","471.7","3867.94","18834779"
"61429377","2026-03-27","CreditsPagoMovilV2","4.920001707540927","468.51","2305.07","18824818"
"16154798","2026-03-27","megasoft","7.379991889180594","468.51","3457.6","18825179"
"12681854","2026-03-24","megasoft","3.2800087060615954","459.45","1507","18806953"
"3771465","2026-03-17","CreditsPagoMovilV2","3.6900104824140776","448.37","1654.49","18758336"
"3746880","2026-03-09","CreditsPagoMovilV2","12.299997691437541","433.17","5327.99","18706888"
"3744284","2026-03-08","CreditsPagoMovilV2","4.100006925687374","433.17","1776","18700273"
"02951103","2026-03-05","megasoft","3.279999065267684","427.93","1403.61","18680659"
"02113930","2026-03-03","megasoft","7.379989570493979","421.88","3113.47","18670063"
"01688018","2026-03-02","InstantDebit","4.919998095192742","419.99","2066.35","18662618"
"99324902","2026-02-25","megasoft","7.379989783259141","411.09","3033.84","18630751"
"95847660","2026-02-18","megasoft","3.279990917577011","396.37","1300.09","18591062"
"95383293","2026-02-17","InstantDebit","6.150011353028735","396.37","2437.68","18581784"
"3663479","2026-02-08","CreditsPagoMovilV2","13.120011499359695","382.63","5020.11","18525351"
"89372560","2026-02-05","InstantDebit","10.659990487766212","378.46","4034.38","18507287"
"87939065","2026-02-02","megasoft","11.070006752194464","370.25","4098.67","18491738"
"85502070","2026-01-28","megasoft","13.530000829898475","361.49","4890.96","18460159"
"84097080","2026-01-25","megasoft","5.740008437631838","355.55","2040.86","18448669"
"84097080","2026-01-25","megasoft","5.190043594431162","355.55","1845.3","18445823"
"84097080","2026-01-24","megasoft","4.920011250175784","355.55","1749.31","18441889"
"82152990","2026-01-21","megasoft","4.920002303749352","347.26","1708.52","18424894"
"3610528","2026-01-20","CreditsPagoMovilV2","9.84000464427738","344.51","3389.98","18416247"
"81678240","2026-01-20","punto_de_venta","8.199994194653275","344.51","2824.98","18418254"
"81222274","2026-01-19","megasoft","11.070012481495457","344.51","3813.73","18414767"
"74796030","2026-01-06","InstantDebit","6.149991887067986","308.15","1895.12","18338213"
