Order id;Razón Social ;Sucursal;Métodos De Pago;Subtotal $;Subvención Yummy $;Subtotal Mas Subvención Yummy;Total Cupones de Comercio $;IGTF Comercio $;Fecha De La Orden;Tipo de Delivery;Estado de la orden
19228023;INVERSIONES GASTROBAR CAFE, C.A;CAFE IN;megasoft;$9.50;$0.00;$9.50;$0.00;$0.00;21/5/2026;CoreLogistics;Finalizado
19224743;INVERSIONES GASTROBAR CAFE, C.A;CAFE IN;megasoft;$4.00;$0.00;$4.00;$0.00;$0.00;21/5/2026;CoreLogistics;Finalizado
19221262;INVERSIONES GASTROBAR CAFE, C.A;CAFE IN;megasoft;$16.00;$0.00;$16.00;$0.00;$0.00;20/5/2026;CoreLogistics;Finalizado
19207855;INVERSIONES GASTROBAR CAFE, C.A;CAFE IN;CreditsPagoMovilV2;$12.00;$0.00;$12.00;$0.00;$0.00;18/5/2026;CoreLogistics;Finalizado
19202130;INVERSIONES GASTROBAR CAFE, C.A;CAFE IN;CreditsPagoMovilV2;$4.00;$0.00;$4.00;$0.00;$0.00;17/5/2026;CoreLogistics;Finalizado
19182021;INVERSIONES GASTROBAR CAFE, C.A;CAFE IN;stripe;$19.00;$0.00;$19.00;$0.00;$0.00;15/5/2026;CoreLogistics;Finalizado
19168672;INVERSIONES GASTROBAR CAFE, C.A;CAFE IN;megasoft;$4.00;$0.00;$4.00;$0.00;$0.00;13/5/2026;CoreLogistics;Finalizado
19162053;INVERSIONES GASTROBAR CAFE, C.A;CAFE IN;InstantDebit;$6.50;$0.00;$6.50;$0.00;$0.00;12/5/2026;CoreLogistics;Finalizado
19157586;INVERSIONES GASTROBAR CAFE, C.A;CAFE IN;CreditsPagoMovilV2;$9.50;$0.00;$9.50;$0.00;$0.00;11/5/2026;CoreLogistics;Finalizado
19129933;INVERSIONES GASTROBAR CAFE, C.A;CAFE IN;megasoft;$4.00;$0.00;$4.00;$0.00;$0.00;8/5/2026;CoreLogistics;Finalizado
19128255;INVERSIONES GASTROBAR CAFE, C.A;CAFE IN;stripe;$12.00;$0.00;$12.00;$0.00;$0.00;8/5/2026;CoreLogistics;Finalizado
19121072;INVERSIONES GASTROBAR CAFE, C.A;CAFE IN;credits;$12.50;$0.00;$12.50;$0.00;$0.00;7/5/2026;CoreLogistics;Finalizado
19120987;INVERSIONES GASTROBAR CAFE, C.A;CAFE IN;megasoft;$6.00;$0.00;$6.00;$0.00;$0.00;7/5/2026;CoreLogistics;Finalizado
