Referencia Bancaria;Sucursal;Fecha De La Orden;Métodos De Pago;Pago Previo $;Tasa Bs/$;Pago Previo Bs;Order Id
883939961;2 Doce Market - Las Mercedes;21/5/2026;CreditsPagoMovilV2;$3.69;523.68;1,932.38;19230867
52813411;2 Doce Market - Las Mercedes;20/5/2026;megasoft;$3.80;520.91;1,977.9;19218792
52813411;2 Doce Market - Las Mercedes;20/5/2026;megasoft;$4.88;520.91;2,542.04;19224331
615319022;2 Doce Market - Las Mercedes;20/5/2026;CreditsPagoMovilV2;$7.15;520.91;3,727.11;19219224
52813411;2 Doce Market - Las Mercedes;20/5/2026;InstantDebit;$2.60;520.91;1,354.89;19218895
52813411;2 Doce Market - Las Mercedes;20/5/2026;InstantDebit;$15.97;520.91;8,316.85;19218826
52813411;2 Doce Market - Las Mercedes;20/5/2026;InstantDebit;$38.34;520.91;19,971.69;19223961
52813411;2 Doce Market - Las Mercedes;20/5/2026;InstantDebit;$0.95;520.91;495.39;19221393
52813411;2 Doce Market - Las Mercedes;20/5/2026;megasoft;$19.80;520.91;10,314.02;19223732
52813411;2 Doce Market - Las Mercedes;20/5/2026;megasoft;$24.15;520.91;12,578.41;19221897
479418276;2 Doce Market - Las Mercedes;20/5/2026;CreditsPagoMovilV2;$3.42;520.91;1,781.51;19224118
52813411;2 Doce Market - Las Mercedes;20/5/2026;InstantDebit;$1.48;520.91;768.86;19224030
52813411;2 Doce Market - Las Mercedes;20/5/2026;InstantDebit;$1.68;520.91;875.13;19222817
52037251;2 Doce Market - Las Mercedes;19/5/2026;InstantDebit;$7.20;517.96;3,729.31;19214677
52037251;2 Doce Market - Las Mercedes;19/5/2026;InstantDebit;$6.60;517.96;3,416.98;19212307
52037251;2 Doce Market - Las Mercedes;19/5/2026;InstantDebit;$0.80;517.96;414.89;19213328
52037251;2 Doce Market - Las Mercedes;19/5/2026;punto_de_venta;$18.00;517.96;9,323.28;19212284
920633597;2 Doce Market - Las Mercedes;18/5/2026;CreditsPagoMovilV2;$1.20;517.96;621.55;19206486
920633597;2 Doce Market - Las Mercedes;18/5/2026;CreditsPagoMovilV2;$4.16;517.96;2,154.71;19206461
51292350;2 Doce Market - Las Mercedes;18/5/2026;InstantDebit;$8.25;517.96;4,273.69;19206398
99604233;2 Doce Market - Las Mercedes;18/5/2026;CreditsPagoMovilV2;$24.56;517.96;12,721.62;19211647
51292350;2 Doce Market - Las Mercedes;18/5/2026;InstantDebit;$3.23;517.96;1,671.97;19212113
